1.0 C n79 M1
279.89999999999515 CONN n313 n7 down
283.79999999999603 CONN n677 n716 up
285.19999999999635 CONN n413 n882 down
287.2999999999968 CONN n7 n59 down
287.79999999999694 CONN n1032 n57 up
287.999999999997 CONN n444 n67 up
288.5999999999971 CONN n67 n878 up
289.59999999999735 CONN n705 n815 up
290.99999999999767 CONN n591 n693 down
292.399999999998 CONN n729 n18 up
294.0999999999984 CONN n510 n25 up
295.5999999999987 CONN n271 n591 down
296.4999999999989 CONN n499 n511 up
297.7999999999992 CONN n788 n781 up
297.89999999999924 CONN n32 n729 down
298.4999999999994 CONN n591 n25 down
300.99999999999994 CONN n59 n57 up
301.3 CONN n59 n313 down
301.50000000000006 CONN n6 n3 down
302.2000000000002 CONN n591 n729 down
302.80000000000035 CONN n510 n25 down
303.8000000000006 CONN n690 n511 down
304.10000000000065 CONN n882 n59 up
304.60000000000076 CONN n729 n510 down
309.00000000000176 CONN n1032 n882 up
311.10000000000224 CONN n693 n18 down
311.20000000000226 CONN n217 n475 up
311.50000000000233 CONN n1032 n7 down
313.80000000000285 CONN n271 n18 down
314.0000000000029 CONN n729 n18 down
314.1000000000029 CONN n32 n950 down
314.20000000000294 CONN n18 n25 down
314.60000000000304 CONN n1016 n871 down
315.2000000000032 CONN n591 n950 down
315.7000000000033 CONN n313 n693 up
317.1000000000036 CONN n422 n32 up
317.4000000000037 CONN n422 n591 up
319.3000000000041 CONN n882 n57 up
319.7000000000042 CONN n313 n729 up
321.30000000000456 CONN n313 n271 up
321.8000000000047 CONN n25 n313 up
322.8000000000049 CONN n781 n788 down
326.60000000000576 CONN n853 n67 down
326.60000000000576 CONN n217 n475 down
327.00000000000585 CONN n75 n59 up
327.00000000000585 CONN n75 n882 up
327.3000000000059 CONN n950 n510 down
328.0000000000061 CONN n448 n189 down
329.0000000000063 CONN n75 n1032 up
329.5000000000064 CONN n878 n853 down
331.30000000000683 CONN n210 n7 up
331.6000000000069 CONN n67 n42 up
332.000000000007 CONN n878 n42 up
332.4000000000071 CONN n950 n313 up
334.3000000000075 CONN n478 n1016 up
334.7000000000076 CONN n510 n591 down
336.30000000000797 CONN n444 n67 down
336.30000000000797 CONN n131 n107 down
338.40000000000845 CONN n59 n57 down
339.80000000000877 CONN n1016 n866 up
341.6000000000092 CONN n32 n510 down
343.60000000000963 CONN n59 n729 up
344.10000000000974 CONN n499 n511 down
344.10000000000974 CONN n7 n57 down
344.8000000000099 CONN n693 n59 up
345.10000000000997 CONN n478 n866 up
348.60000000001077 CONN n444 n42 up
350.1000000000111 CONN n59 n950 up
350.30000000001115 CONN n729 n1032 up
353.00000000001177 CONN n693 n1032 up
353.40000000001186 CONN n422 n499 up
353.7000000000119 CONN n75 n59 down
354.30000000001206 CONN n882 n75 down
354.8000000000122 CONN n25 n59 up
354.9000000000122 CONN n1032 n950 up
355.50000000001234 CONN n716 n677 down
355.9000000000124 CONN n59 n313 up
355.9000000000124 CONN n75 n1032 down
356.50000000001256 CONN n878 n67 down
357.80000000001286 CONN n444 n878 down
359.2000000000132 CONN n513 n511 up
359.50000000001324 CONN n853 n444 down
360.3000000000134 CONN n271 n59 up
360.40000000001345 CONN n42 n67 down
360.5000000000135 CONN n882 n59 down
363.6000000000142 CONN n591 n499 up
364.2000000000143 CONN n882 n950 up
364.6000000000144 CONN n863 n710 up
365.60000000001463 CONN n950 n313 down
366.10000000001475 CONN n1032 n25 up
366.9000000000149 CONN n950 n271 down
367.80000000001513 CONN n57 n950 up
369.1000000000154 CONN n1032 n271 up
369.20000000001545 CONN n57 n1032 down
369.60000000001554 CONN n313 n510 up
371.3000000000159 CONN n950 n271 up
372.1000000000161 CONN n448 n7 up
372.80000000001627 CONN n313 n693 down
372.80000000001627 CONN n67 n413 up
373.0000000000163 CONN n729 n313 down
373.7000000000165 CONN n210 n7 down
373.8000000000165 CONN n225 n841 up
374.00000000001654 CONN n313 n59 down
374.3000000000166 CONN n499 n32 up
377.20000000001727 CONN n42 n878 down
379.80000000001786 CONN n313 n25 down
380.60000000001804 CONN n510 n271 up
381.00000000001813 CONN n313 n271 down
382.7000000000185 CONN n513 n511 down
382.90000000001857 CONN n815 n705 down
383.6000000000187 CONN n510 n59 up
384.20000000001886 CONN n591 n32 down
384.60000000001895 CONN n32 n422 down
385.10000000001907 CONN n510 n25 up
387.9000000000197 CONN n407 n131 up
389.40000000002004 CONN n882 n693 up
392.4000000000207 CONN n510 n729 up
393.40000000002095 CONN n841 n225 down
394.20000000002113 CONN n59 n950 down
394.20000000002113 CONN n510 n313 down
394.4000000000212 CONN n510 n1032 up
395.3000000000214 CONN n57 n210 up
396.8000000000217 CONN n57 n693 up
397.80000000002195 CONN n42 n444 down
398.30000000002207 CONN n882 n729 up
400.6000000000226 CONN n853 n444 up
401.70000000002284 CONN n693 n59 down
402.20000000002295 CONN n882 n271 up
404.40000000002345 CONN n499 n591 down
405.20000000002364 CONN n67 n413 down
405.30000000002366 CONN n478 n1016 down
405.4000000000237 CONN n1032 n882 down
405.9000000000238 CONN n67 n75 up
406.3000000000239 CONN n882 n25 up
409.20000000002454 CONN n57 n729 up
412.1000000000252 CONN n32 n499 down
412.30000000002525 CONN n422 n591 down
412.4000000000253 CONN n374 n387 up
412.70000000002534 CONN n1032 n693 down
412.70000000002534 CONN n1032 n882 up
414.2000000000257 CONN n271 n57 up
415.00000000002586 CONN n729 n59 down
415.00000000002586 CONN n210 n693 up
415.1000000000259 CONN n693 n25 down
416.6000000000262 CONN n950 n1032 down
417.10000000002634 CONN n1033 n894 up
419.70000000002693 CONN n693 n271 down
420.4000000000271 CONN n863 n710 down
420.9000000000272 CONN n1016 n866 down
421.0000000000272 CONN n882 n510 up
421.2000000000273 CONN n25 n57 up
423.5000000000278 CONN n210 n950 up
424.500000000028 CONN n499 n313 up
424.9000000000281 CONN n25 n950 down
425.40000000002823 CONN n1032 n729 down
427.0000000000286 CONN n57 n210 down
427.1000000000286 CONN n59 n271 down
427.5000000000287 CONN n57 n510 up
428.0000000000288 CONN n422 n313 up
428.800000000029 CONN n950 n271 down
429.90000000002925 CONN n210 n729 up
430.9000000000295 CONN n729 n510 down
432.2000000000298 CONN n448 n7 down
432.3000000000298 CONN n25 n729 down
432.50000000002984 CONN n815 n70 up
433.10000000003 CONN n1032 n882 down
433.30000000003 CONN n59 n25 down
433.6000000000301 CONN n781 n300 up
434.30000000003025 CONN n59 n510 down
435.70000000003057 CONN n693 n882 down
436.2000000000307 CONN n57 n210 up
437.90000000003107 CONN n190 n832 up
438.60000000003123 CONN n313 n499 down
439.20000000003137 CONN n210 n950 down
439.4000000000314 CONN n882 n950 down
440.50000000003166 CONN n693 n210 down
441.70000000003193 CONN n1033 n894 down
442.70000000003216 CONN n693 n57 down
443.2000000000323 CONN n271 n1032 down
443.90000000003243 CONN n387 n374 down
445.5000000000328 CONN n57 n950 down
445.70000000003284 CONN n36 n444 up
447.3000000000332 CONN n210 n271 up
449.5000000000337 CONN n59 n499 up
455.100000000035 CONN n210 n729 down
455.40000000003505 CONN n422 n313 down
455.40000000003505 CONN n210 n882 up
456.0000000000352 CONN n510 n1032 down
456.80000000003537 CONN n729 n882 down
456.80000000003537 CONN n190 n832 down
458.40000000003573 CONN n271 n693 up
459.2000000000359 CONN n444 n853 down
460.0000000000361 CONN n950 n271 up
460.5000000000362 CONN n25 n1032 down
461.20000000003637 CONN n510 n210 up
461.7000000000365 CONN n59 n422 up
463.1000000000368 CONN n271 n25 down
464.100000000037 CONN n210 n271 down
464.100000000037 CONN n67 n75 down
464.5000000000371 CONN n1032 n499 up
466.6000000000376 CONN n407 n131 down
467.0000000000377 CONN n729 n57 down
467.6000000000378 CONN n422 n1032 up
469.00000000003814 CONN n25 n210 up
470.1000000000384 CONN n42 n75 up
471.4000000000387 CONN n853 n878 up
473.3000000000391 CONN n65 n475 up
475.10000000003953 CONN n67 n950 up
476.8000000000399 CONN n448 n693 up
477.6000000000401 CONN n729 n67 up
478.70000000004035 CONN n67 n271 up
482.30000000004117 CONN n271 n693 down
483.7000000000415 CONN n717 n590 up
486.10000000004203 CONN n448 n729 up
488.90000000004267 CONN n878 n853 down
491.00000000004314 CONN n513 n313 up
493.5000000000437 CONN n448 n271 up
495.1000000000441 CONN n816 n689 up
496.1000000000443 CONN n271 n882 down
496.4000000000444 CONN n59 n499 down
496.6000000000444 CONN n950 n693 down
497.0000000000445 CONN n36 n444 down
498.50000000004485 CONN n815 n70 down
498.7000000000449 CONN n950 n271 down
499.100000000045 CONN n67 n448 up
500.0000000000452 CONN n57 n271 down
500.8000000000454 CONN n693 n729 down
501.50000000004553 CONN n588 n615 up
