1.0 C n79 M1
161.99999999999508 CONN n722 n8 down
161.99999999999508 CONN n483 n910 down
162.09999999999508 CONN n508 n65 down
162.69999999999504 CONN n825 n181 down
162.79999999999504 CONN n18 n595 up
162.99999999999503 CONN n53 n508 down
165.59999999999488 CONN n259 n483 down
168.4999999999947 CONN n259 n491 down
168.8999999999947 CONN n601 n722 down
169.59999999999465 CONN n457 n14 up
169.79999999999464 CONN n901 n863 up
170.2999999999946 CONN n429 n901 down
171.69999999999453 CONN n180 n259 down
171.69999999999453 CONN n910 n491 down
172.1999999999945 CONN n894 n457 up
172.1999999999945 CONN n902 n398 up
172.1999999999945 CONN n6 n852 up
173.09999999999445 CONN n595 n843 down
173.8999999999944 CONN n457 n360 up
174.59999999999437 CONN n547 n341 down
175.09999999999434 CONN n360 n894 down
175.49999999999432 CONN n901 n398 up
175.7999999999943 CONN n36 n45 down
175.7999999999943 CONN n863 n398 down
177.89999999999418 CONN n905 n457 down
178.89999999999412 CONN n18 n341 up
178.89999999999412 CONN n901 n36 up
180.19999999999405 CONN n834 n822 down
181.39999999999398 CONN n360 n45 up
182.19999999999393 CONN n220 n880 down
183.49999999999386 CONN n722 n595 up
183.59999999999386 CONN n18 n722 up
183.89999999999384 CONN n36 n398 down
183.89999999999384 CONN n341 n595 up
185.29999999999376 CONN n45 n398 down
185.69999999999374 CONN n902 n45 up
185.89999999999372 CONN n852 n6 down
186.1999999999937 CONN n8 n74 down
186.2999999999937 CONN n707 n272 up
188.0999999999936 CONN n722 n606 up
188.39999999999358 CONN n398 n902 down
188.79999999999356 CONN n547 n341 up
188.89999999999355 CONN n360 n905 up
189.09999999999354 CONN n457 n14 down
193.69999999999328 CONN n718 n775 down
195.0999999999932 CONN n894 n901 up
195.59999999999317 CONN n901 n863 down
195.89999999999316 CONN n902 n905 up
195.89999999999316 CONN n722 n843 down
195.99999999999315 CONN n894 n457 down
196.39999999999313 CONN n504 n997 up
196.6999999999931 CONN n902 n360 up
197.0999999999931 CONN n894 n45 down
197.29999999999308 CONN n722 n791 up
197.79999999999305 CONN n360 n457 down
198.29999999999302 CONN n886 n491 up
199.09999999999297 CONN n791 n547 up
199.29999999999296 CONN n457 n45 down
199.39999999999296 CONN n14 n45 up
200.89999999999287 CONN n722 n74 down
201.39999999999284 CONN n14 n902 up
202.69999999999277 CONN n429 n863 up
203.39999999999273 CONN n75 n308 up
203.59999999999272 CONN n910 n180 down
204.59999999999266 CONN n75 n710 up
205.99999999999258 CONN n53 n65 down
206.09999999999258 CONN n707 n272 down
206.49999999999255 CONN n547 n595 up
206.99999999999253 CONN n75 n6 up
207.1999999999925 CONN n722 n341 up
208.49999999999244 CONN n308 n75 down
209.2999999999924 CONN n36 n901 down
209.69999999999237 CONN n74 n18 up
209.79999999999237 CONN n280 n291 up
212.6999999999922 CONN n894 n36 down
213.59999999999215 CONN n457 n8 up
214.4999999999921 CONN n547 n606 up
217.59999999999192 CONN n722 n547 up
218.89999999999185 CONN n910 n259 down
219.6999999999918 CONN n595 n18 down
220.09999999999178 CONN n280 n291 down
224.8999999999915 CONN n606 n74 up
225.89999999999145 CONN n722 n18 down
226.5999999999914 CONN n601 n457 up
227.19999999999138 CONN n18 n601 up
228.4999999999913 CONN n595 n606 down
231.9999999999911 CONN n791 n18 down
231.9999999999911 CONN n606 n722 down
233.49999999999102 CONN n902 n905 down
233.599999999991 CONN n65 n53 up
234.79999999999094 CONN n601 n606 up
237.3999999999908 CONN n341 n74 up
237.4999999999908 CONN n45 n14 down
237.4999999999908 CONN n392 n414 up
237.69999999999078 CONN n822 n717 up
237.99999999999076 CONN n595 n341 down
239.1999999999907 CONN n75 n710 down
239.1999999999907 CONN n341 n722 down
239.79999999999066 CONN n902 n14 down
240.49999999999062 CONN n863 n429 down
241.19999999999058 CONN n601 n8 down
241.19999999999058 CONN n852 n75 up
244.69999999999038 CONN n360 n902 down
244.99999999999037 CONN n308 n852 up
246.59999999999027 CONN n341 n601 up
246.79999999999026 CONN n722 n791 down
247.39999999999023 CONN n880 n33 up
247.59999999999022 CONN n483 n259 up
247.7999999999902 CONN n791 n595 down
249.7999999999901 CONN n18 n457 up
249.7999999999901 CONN n894 n901 down
249.7999999999901 CONN n722 n547 down
249.8999999999901 CONN n791 n74 up
251.19999999999 CONN n595 n547 down
251.89999999998997 CONN n547 n606 down
253.2999999999899 CONN n35 n43 up
253.59999999998988 CONN n997 n722 up
254.7999999999898 CONN n6 n75 down
256.09999999998973 CONN n547 n74 up
258.29999999999023 CONN n308 n75 up
258.39999999999026 CONN n36 n894 up
258.4999999999903 CONN n76 n449 down
258.5999999999903 CONN n717 n822 down
258.79999999999035 CONN n710 n6 down
258.9999999999904 CONN n852 n75 down
259.69999999999055 CONN n220 n863 up
262.79999999999126 CONN n414 n392 down
264.2999999999916 CONN n910 n886 up
264.3999999999916 CONN n547 n341 down
265.49999999999187 CONN n791 n601 up
267.8999999999924 CONN n45 n360 down
268.7999999999926 CONN n875 n868 up
269.1999999999927 CONN n901 n398 down
269.29999999999274 CONN n606 n457 up
269.4999999999928 CONN n74 n18 down
270.9999999999931 CONN n722 n595 down
271.09999999999314 CONN n36 n220 up
271.49999999999324 CONN n601 n457 down
271.99999999999335 CONN n722 n504 up
272.49999999999346 CONN n341 n457 up
272.9999999999936 CONN n905 n14 down
274.799999999994 CONN n491 n910 up
277.4999999999946 CONN n852 n308 down
278.8999999999949 CONN n547 n601 up
279.7999999999951 CONN n45 n902 down
280.9999999999954 CONN n688 n208 up
282.09999999999565 CONN n457 n8 down
284.29999999999615 CONN n601 n18 down
284.39999999999617 CONN n894 n220 up
285.3999999999964 CONN n791 n341 down
285.59999999999644 CONN n341 n74 down
286.3999999999966 CONN n74 n606 down
286.89999999999674 CONN n449 n76 up
287.2999999999968 CONN n53 n65 down
287.999999999997 CONN n791 n606 down
287.999999999997 CONN n487 n491 up
288.9999999999972 CONN n491 n886 down
