1.0 C n79 M1
20503.99999998212 CONN n230 n153 up
20506.59999998208 CONN n158 n153 up
20509.099999982045 CONN n146 n227 down
20509.099999982045 CONN n333 n120 down
20512.99999998199 CONN n280 n192 down
20516.19999998194 CONN n164 n254 up
20520.199999981884 CONN n158 n333 down
20521.69999998186 CONN n227 n137 down
20523.599999981834 CONN n208 n78 down
20527.799999981773 CONN n230 n120 down
20528.999999981756 CONN n230 n333 down
20529.099999981754 CONN n288 n336 down
20529.199999981753 CONN n215 n227 up
20531.199999981724 CONN n261 n359 down
20531.39999998172 CONN n186 n215 down
20532.299999981708 CONN n128 n192 down
20533.39999998169 CONN n208 n156 up
20534.89999998167 CONN n153 n120 down
20535.59999998166 CONN n150 n298 down
20538.89999998161 CONN n333 n146 up
20541.299999981577 CONN n313 n307 up
20543.09999998155 CONN n137 n217 up
20544.099999981536 CONN n333 n137 up
20544.59999998153 CONN n153 n158 down
20547.599999981485 CONN n158 n230 down
20552.79999998141 CONN n298 n207 up
20554.399999981386 CONN n217 n227 down
20556.499999981355 CONN n168 n230 up
20558.19999998133 CONN n315 n246 up
20562.899999981262 CONN n333 n217 up
20567.79999998119 CONN n208 n156 down
20570.59999998115 CONN n280 n243 up
20571.39999998114 CONN n366 n227 up
20573.799999981104 CONN n128 n243 up
20575.899999981073 CONN n146 n217 up
20579.399999981022 CONN n153 n146 up
20579.399999981022 CONN n254 n164 down
20581.199999980996 CONN n180 n178 up
20585.899999980928 CONN n137 n153 up
20589.19999998088 CONN n128 n243 down
20591.499999980846 CONN n156 n185 up
20595.799999980783 CONN n210 n323 up
20596.999999980766 CONN n280 n243 down
20597.49999998076 CONN n207 n298 down
20598.499999980744 CONN n131 n147 up
20599.899999980724 CONN n230 n146 up
20600.399999980717 CONN n246 n315 down
20600.89999998071 CONN n156 n78 up
20601.699999980698 CONN n217 n153 up
20604.19999998066 CONN n333 n146 down
20604.599999980655 CONN n153 n333 up
20606.499999980628 CONN n137 n230 up
20609.299999980587 CONN n137 n333 down
20609.599999980583 CONN n153 n230 down
20613.79999998052 CONN n366 n215 up
20613.89999998052 CONN n301 n220 up
20617.99999998046 CONN n215 n227 down
20618.69999998045 CONN n333 n217 down
20619.899999980433 CONN n303 n247 down
20622.599999980393 CONN n227 n208 up
20623.199999980385 CONN n333 n215 up
20626.099999980343 CONN n371 n120 up
20626.099999980343 CONN n371 n158 up
20628.199999980312 CONN n227 n366 down
20630.099999980284 CONN n280 n128 down
20632.299999980252 CONN n153 n137 down
20634.099999980226 CONN n146 n153 down
20634.999999980213 CONN n220 n301 down
20635.499999980206 CONN n14 n264 up
20637.599999980175 CONN n200 n185 up
20638.199999980166 CONN n303 n150 up
20638.799999980158 CONN n217 n230 up
20639.099999980153 CONN n120 n371 down
20641.29999998012 CONN n168 n137 up
20641.49999998012 CONN n217 n153 down
20643.599999980088 CONN n158 n371 down
20646.19999998005 CONN n360 n114 up
20647.999999980024 CONN n215 n153 up
20648.89999998001 CONN n168 n217 up
20653.299999979947 CONN n185 n200 down
20654.899999979923 CONN n143 n275 up
20656.799999979896 CONN n210 n323 down
20658.099999979877 CONN n373 n120 up
20658.099999979877 CONN n373 n158 up
20658.999999979864 CONN n208 n227 down
20661.599999979826 CONN n153 n74 up
20661.99999997982 CONN n333 n215 down
20665.49999997977 CONN n180 n371 up
20667.39999997974 CONN n150 n303 down
20672.39999997967 CONN n333 n208 up
20675.199999979628 CONN n207 n303 up
20677.69999997959 CONN n371 n178 up
20682.299999979525 CONN n219 n78 up
20685.499999979478 CONN n78 n156 down
20686.199999979468 CONN n208 n153 up
20687.599999979448 CONN n215 n153 down
20690.499999979405 CONN n143 n275 down
20691.399999979392 CONN n200 n227 up
20694.99999997934 CONN n74 n153 down
20695.59999997933 CONN n215 n74 up
20704.099999979207 CONN n168 n137 down
20705.099999979193 CONN n298 n322 up
20706.79999997917 CONN n180 n120 up
20707.099999979164 CONN n180 n178 down
20707.699999979155 CONN n207 n303 down
20707.799999979154 CONN n180 n371 down
20710.09999997912 CONN n156 n185 down
20711.799999979095 CONN n158 n373 down
20713.399999979072 CONN n366 n74 up
20713.49999997907 CONN n217 n146 down
20713.59999997907 CONN n173 n226 up
20713.799999979066 CONN n230 n137 down
20714.599999979055 CONN n156 n78 up
20714.599999979055 CONN n184 n145 up
20714.699999979053 CONN n375 n150 up
20714.79999997905 CONN n146 n137 down
20715.49999997904 CONN n156 n219 up
20718.099999979004 CONN n217 n230 down
20718.99999997899 CONN n230 n74 up
20719.999999978976 CONN n168 n217 down
20722.899999978934 CONN n227 n185 up
20724.199999978915 CONN n180 n158 up
20727.799999978863 CONN n230 n215 up
20728.799999978848 CONN n227 n200 down
20729.39999997884 CONN n366 n168 up
20729.799999978834 CONN n74 n168 up
20730.499999978823 CONN n264 n14 down
20730.899999978818 CONN n322 n298 down
20730.999999978816 CONN n168 n215 up
20731.39999997881 CONN n371 n178 down
20733.39999997878 CONN n120 n373 down
20734.79999997876 CONN n373 n180 up
20735.099999978756 CONN n114 n360 down
20735.299999978753 CONN n333 n208 down
