1.0 C n153 M1
20714.29999997906 CONN n208 n153 down
20723.699999978922 CONN n78 n219 down
20728.399999978854 CONN n180 n120 up
20730.09999997883 CONN n74 n215 up
20739.69999997869 CONN n180 n120 down
20750.69999997853 CONN n366 n168 up
20761.099999978378 CONN n227 n185 up
20761.69999997837 CONN n366 n168 down
20762.499999978358 CONN n178 n120 up
20764.899999978323 CONN n74 n215 down
20766.099999978305 CONN n307 n313 up
20772.799999978208 CONN n178 n120 down
20776.299999978157 CONN n227 n185 down
20798.69999997783 CONN n313 n307 down
20811.399999977646 CONN n137 n373 up
20815.29999997759 CONN n207 n150 up
20827.099999977418 CONN n373 n137 down
20831.199999977358 CONN n296 n14 up
20843.39999997718 CONN n14 n296 down
20853.79999997703 CONN n246 n301 up
20860.099999976937 CONN n246 n301 down
20882.999999976604 CONN n128 n280 up
20899.399999976366 CONN n207 n150 down
20899.599999976363 CONN n128 n280 down
20899.89999997636 CONN n286 n164 up
20904.799999976287 CONN n164 n286 down
20910.19999997621 CONN n213 n227 up
20914.699999976143 CONN n213 n227 down
20923.79999997601 CONN n372 n213 up
20939.199999975786 CONN n213 n372 down
20962.699999975444 CONN n280 n128 up
21030.099999974464 CONN n320 n318 up
21030.899999974452 CONN n74 n200 up
21031.69999997444 CONN n318 n320 down
21034.599999974398 CONN n280 n128 down
21057.89999997406 CONN n280 n128 up
21061.699999974004 CONN n210 n153 up
21067.099999973925 CONN n200 n74 down
21073.099999973838 CONN n280 n128 down
21083.89999997368 CONN n148 n262 up
21084.899999973666 CONN n153 n210 down
21100.299999973442 CONN n196 n322 up
21102.59999997341 CONN n185 n373 up
21103.1999999734 CONN n262 n148 down
21108.499999973323 CONN n366 n220 up
21110.0999999733 CONN n223 n238 up
21112.89999997326 CONN n373 n185 down
21114.19999997324 CONN n366 n220 down
21114.89999997323 CONN n148 n262 up
21116.599999973205 CONN n280 n128 up
21120.699999973145 CONN n333 n360 up
21122.699999973116 CONN n333 n360 down
21132.299999972976 CONN n182 n252 up
21142.099999972834 CONN n322 n196 down
21142.799999972824 CONN n128 n280 down
21144.2999999728 CONN n223 n238 down
21152.09999997269 CONN n252 n182 down
21164.899999972502 CONN n223 n150 up
21174.399999972364 CONN n402 n219 up
21178.299999972307 CONN n223 n150 down
21181.899999972255 CONN n185 n180 up
21182.09999997225 CONN n423 n329 up
21182.29999997225 CONN n328 n161 up
21184.599999972215 CONN n365 n114 up
21186.599999972186 CONN n328 n161 down
21187.299999972176 CONN n150 n238 up
21188.39999997216 CONN n402 n219 down
21188.699999972156 CONN n373 n210 up
21191.599999972113 CONN n262 n148 down
21201.49999997197 CONN n365 n114 down
21202.299999971958 CONN n185 n180 down
21205.099999971917 CONN n336 n296 up
21212.49999997181 CONN n336 n296 down
21214.39999997178 CONN n244 n390 up
21215.99999997176 CONN n322 n423 up
21220.69999997169 CONN n390 n244 down
21220.899999971687 CONN n210 n373 down
21226.599999971604 CONN n150 n238 down
21228.19999997158 CONN n329 n423 down
21241.799999971383 CONN n301 n131 up
21245.699999971326 CONN n301 n131 down
21257.299999971157 CONN n423 n322 down
21261.599999971095 CONN n360 n372 up
21262.999999971074 CONN n185 n178 up
21265.199999971042 CONN n360 n372 down
21281.399999970807 CONN n153 n429 up
21292.09999997065 CONN n153 n429 down
21294.19999997062 CONN n408 n367 up
21294.79999997061 CONN n178 n185 down
21311.899999970363 CONN n408 n367 down
21320.099999970244 CONN n359 n120 up
21321.69999997022 CONN n230 n372 up
21323.0999999702 CONN n120 n359 down
21331.99999997007 CONN n196 n329 up
21336.999999969998 CONN n14 n386 up
21341.999999969925 CONN n386 n14 down
21350.5999999698 CONN n230 n372 down
21353.89999996975 CONN n196 n329 down
21361.699999969638 CONN n207 n238 up
21362.19999996963 CONN n168 n275 up
21367.899999969548 CONN n390 n137 up
21372.699999969478 CONN n323 n412 up
21374.899999969446 CONN n217 n359 up
21375.599999969436 CONN n412 n323 down
21378.499999969394 CONN n168 n275 down
21380.399999969366 CONN n217 n359 down
21388.39999996925 CONN n207 n150 up
21389.899999969228 CONN n238 n150 up
21399.99999996908 CONN n238 n207 down
21400.79999996907 CONN n246 n366 up
21403.099999969036 CONN n246 n366 down
21405.599999969 CONN n210 n429 up
21406.399999968988 CONN n207 n150 down
21409.399999968944 CONN n150 n238 down
21410.099999968934 CONN n210 n429 down
21414.899999968864 CONN n359 n288 up
21419.599999968796 CONN n359 n288 down
21420.09999996879 CONN n178 n429 up
21426.999999968688 CONN n178 n429 down
21427.299999968684 CONN n390 n137 down
21437.89999996853 CONN n196 n329 up
21455.09999996828 CONN n196 n329 down
21460.299999968203 CONN n200 n220 up
21481.999999967888 CONN n220 n200 down
21491.599999967748 CONN n196 n329 up
21496.599999967675 CONN n196 n329 down
21512.499999967444 CONN n452 n402 up
21527.29999996723 CONN n329 n423 up
21528.699999967208 CONN n223 n238 up
21530.799999967177 CONN n429 n208 up
21535.799999967105 CONN n329 n423 down
21536.999999967087 CONN n238 n223 down
21537.699999967077 CONN n452 n402 down
21540.99999996703 CONN n268 n211 up
21542.29999996701 CONN n208 n429 down
